crossover_type,population_size,m,k,d,optimum,generations,evaluations,time,best_fitness,is_optimal
Uniform,80,1,5,0.8,1,0,33,0.0005738735198974609,1,True
Uniform,80,1,5,0.2,1,0,1,5.078315734863281e-05,1,True
Uniform,80,1,5,0.8,1,0,33,0.0009622573852539062,1,True
Uniform,100,1,5,0.2,1,0,2,0.00015211105346679688,1,True
Uniform,100,1,5,0.8,1,0,2,9.512901306152344e-05,1,True
Uniform,100,1,5,0.2,1,0,43,0.0014185905456542969,1,True
Uniform,100,1,5,0.8,1,0,18,0.00032591819763183594,1,True
Uniform,100,1,5,0.2,1,0,48,0.0007898807525634766,1,True
Uniform,100,1,5,0.8,1,0,159,0.0027129650115966797,1,True
Uniform,100,1,5,0.2,1,0,68,0.0011210441589355469,1,True
Uniform,100,1,5,0.8,1,0,53,0.0008904933929443359,1,True
Uniform,100,1,5,0.2,1,0,19,0.00033593177795410156,1,True
Uniform,100,1,5,0.8,1,0,27,0.00043892860412597656,1,True
Uniform,100,1,5,0.2,1,0,55,0.0008630752563476562,1,True
Uniform,100,1,5,0.8,1,0,51,0.0007965564727783203,1,True
Uniform,100,1,5,0.2,1,0,81,0.004431486129760742,1,True
Uniform,100,1,5,0.8,1,0,3,0.0007402896881103516,1,True
Uniform,100,1,5,0.2,1,0,31,0.0022954940795898438,1,True
Uniform,100,1,5,0.8,1,0,20,0.0018727779388427734,1,True
Uniform,100,1,5,0.2,1,0,15,0.00034046173095703125,1,True
Uniform,100,1,5,0.8,1,0,95,0.0015795230865478516,1,True
Uniform,100,1,5,0.2,1,0,19,0.0003447532653808594,1,True
Uniform,100,1,5,0.8,1,0,36,0.0006177425384521484,1,True
Uniform,20,2,5,0.2,2,12,260,0.008797168731689453,1.6,False
Uniform,20,2,5,0.8,2,12,260,0.007956504821777344,0.3999999999999999,False
Uniform,20,2,5,0.2,2,14,300,0.016071319580078125,1.6,False
Uniform,20,2,5,0.8,2,13,280,0.00909566879272461,1.1,False
Uniform,20,2,5,0.2,2,7,160,0.004764080047607422,1.4,False
Uniform,20,2,5,0.8,2,20,420,0.018947124481201172,1.15,False
Uniform,20,2,5,0.2,2,8,180,0.005947113037109375,1.8,False
Uniform,20,2,5,0.8,2,11,240,0.006697416305541992,1.2,False
Uniform,20,2,5,0.2,2,8,180,0.004939079284667969,1.6,False
Uniform,20,2,5,0.8,2,10,220,0.013153791427612305,1.2,False
Uniform,20,2,5,0.2,2,15,320,0.01727581024169922,1.6,False
Uniform,20,2,5,0.8,2,12,260,0.008034229278564453,1.1,False
Uniform,20,2,5,0.2,2,10,220,0.006668806076049805,1.8,False
Uniform,20,2,5,0.8,2,23,480,0.015240192413330078,1.2,False
Uniform,20,2,5,0.2,2,8,180,0.0055751800537109375,1.4000000000000001,False
Uniform,20,2,5,0.8,2,18,380,0.019800424575805664,1.15,False
Uniform,20,2,5,0.2,2,7,160,0.01355600357055664,1.8,False
Uniform,20,2,5,0.8,2,7,160,0.005664825439453125,0.3999999999999999,False
Uniform,20,2,5,0.2,2,23,480,0.017706632614135742,1.6,False
Uniform,20,2,5,0.8,2,15,320,0.013692140579223633,1.15,False
Uniform,40,2,5,0.2,2,16,680,0.026728153228759766,1.4000000000000001,False
Uniform,40,2,5,0.8,2,21,880,0.02883601188659668,1.15,False
Uniform,40,2,5,0.2,2,67,2720,0.08074355125427246,1.8,False
Uniform,40,2,5,0.8,2,26,1080,0.022988080978393555,1.15,False
Uniform,40,2,5,0.2,2,33,1360,0.05452394485473633,1.8,False
Uniform,40,2,5,0.8,2,18,760,0.031671762466430664,1.15,False
Uniform,40,2,5,0.2,2,17,720,0.026389598846435547,1.8,False
Uniform,40,2,5,0.8,2,0,17,0.0004756450653076172,2,True
Uniform,40,2,5,0.2,2,72,2920,0.08792376518249512,1.6,False
Uniform,40,2,5,0.8,2,88,3560,0.11189460754394531,1.2,False
Uniform,40,2,5,0.2,2,19,800,0.017943859100341797,1.6,False
Uniform,40,2,5,0.8,2,12,520,0.019574880599975586,1.15,False
Uniform,40,2,5,0.2,2,91,3680,0.11237096786499023,1.4000000000000001,False
Uniform,40,2,5,0.8,2,29,1200,0.03733468055725098,1.2,False
Uniform,40,2,5,0.2,2,48,1960,0.06434369087219238,1.6,False
Uniform,40,2,5,0.8,2,32,1320,0.03795266151428223,1.15,False
Uniform,40,2,5,0.2,2,0,71,0.001619577407836914,2,True
Uniform,40,2,5,0.8,2,25,1040,0.03270459175109863,1.15,False
Uniform,40,2,5,0.2,2,150,6040,0.1539294719696045,1.6,False
Uniform,40,2,5,0.8,2,112,4520,0.10701537132263184,1.2,False
Uniform,60,2,5,0.2,2,0,28,0.0005125999450683594,2,True
